Player,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBA PER,Classification,Classification2
Deron WIlliams,Big Ten,39,39,33.7,4.6,10.5,0.433,2.8,5.7,0.491,1.7,4.8,0.364,1.7,2.5,0.677,0.4,3.3,3.6,6.8,1,0.2,2.8,2.1,12.5,8.47,18.2,2,2
Chris Paul,ACC,32,31,33.4,4.5,9.9,0.451,3,6.9,0.441,1.4,3,0.474,4.9,5.8,0.834,0.7,3.8,4.5,6.6,2.4,0,2.8,2.6,15.3,10.27,25.1,1,1
Raymond Felton,ACC,36,35,31.7,4.2,9.2,0.455,2.2,4.8,0.468,1.9,4.4,0.44,2.6,3.7,0.701,0.6,3.7,4.3,6.9,2,0.3,3.6,2,12.9,10.66,13.8,3,4
Nate Robinson,Pac-10,35,35,31.5,5.4,11.6,0.463,3.6,7,0.514,1.8,4.6,0.385,3.9,5,0.782,1.5,2.3,3.9,4.3,1.7,0.2,2,2.8,16.4,7.66,15.6,3,3
Jarrett Jack,ACC,32,31,34.1,5.1,10,0.514,3.7,6.7,0.549,1.4,3.3,0.442,3.8,4.4,0.866,0.3,4.6,4.8,4.5,1.8,0.1,3.4,1.7,15.5,9.78,14.1,3,4
Luther Head,Big Ten,39,39,33.3,5.5,11.8,0.463,2.5,4.6,0.547,3,7.3,0.41,2,2.5,0.788,0.6,3.4,4,3.8,1.7,0.2,1.8,1.4,15.9,8.47,12.3,4,4
Salim Stoudamire,Pac-10,36,33,31.3,5.8,11.6,0.504,2.5,5,0.503,3.3,6.6,0.504,3.4,3.7,0.91,0.3,2.1,2.3,2.2,0.8,0.1,2.4,1.8,18.4,8.03,11.8,4,4
Daniel Ewing,ACC,33,32,34.5,5.5,12.8,0.427,3.4,6.8,0.498,2.1,6,0.347,2.2,3.2,0.692,0.7,2.5,3.2,4,2,0.4,3,3,15.3,10.04,8.3,4,5
Orien Greene,Sun Belt,24,23,32.3,3.8,9.9,0.388,2.4,5.5,0.443,1.4,4.4,0.321,2.6,3.4,0.756,1.4,3.3,4.7,4.1,2.8,0.3,3.5,3,11.7,1.91,6.1,4,5
Quincy Douby,Big East,33,33,36.7,8.7,18.8,0.462,5.2,10.1,0.515,3.5,8.8,0.401,4.5,5.3,0.847,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8,25.4,5.16,9.7,4,5
Rajon Rondo,SEC,34,28,31,4.3,9,0.482,3.8,7,0.54,0.5,1.9,0.273,2,3.5,0.571,1.1,5.1,6.1,4.9,2,0.1,2.3,2.1,11.2,8.88,16,2,3
Kyle Lowry,Big East,33,31,29.3,3.5,7.6,0.466,3.3,7.1,0.468,0.2,0.5,0.444,3.7,4.7,0.786,1.8,2.5,4.3,3.7,2.3,0.2,2.1,2.8,11,9.23,18.4,2,2
Jordan Farmer,Pac-10,37,37,30.4,4.6,11.4,0.41,2.9,6.2,0.472,1.7,5.1,0.333,2.5,3.4,0.717,0.6,2,2.6,5.1,1.1,0.2,3.6,1.7,13.5,8.27,13.3,3,4
Maurice Ager,Big Ten,34,34,34.4,6.6,14.6,0.457,4.2,8.1,0.522,2.4,6.5,0.376,3.6,4.7,0.761,0.7,3.4,4.1,2.5,0.7,0.3,2.6,2.4,19.3,7.27,2.8,4,5
Daniel Gibson,Big 12,37,37,33.2,4.4,10.9,0.405,1.7,3.7,0.456,2.7,7.2,0.38,1.9,2.6,0.726,1.1,2.5,3.6,3.1,1.3,0.3,1.9,2.4,13.4,6.99,10.8,4,5
Dee Brown,Big Ten,33,33,35.8,4.8,13.2,0.359,2.4,5.9,0.407,2.4,7.4,0.321,2.4,3.1,0.757,0.5,2.6,3.1,5.8,1.6,0,2.8,1.8,14.2,6.29,7.9,4,5
Will Blalock,Big 12,30,30,35.7,5.9,13.2,0.447,4.3,9.3,0.468,1.6,3.9,0.398,2,3,0.659,0.8,2.5,3.3,6.1,2.2,0.1,3,1.8,15.4,7.3,4.5,4,5
Mike Conley,Big Ten,39,39,31.6,4.1,7.9,0.518,3.6,6.2,0.579,0.5,1.8,0.304,2.6,3.7,0.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,9.03,17.5,2,3
Acie Law,Big 12,34,34,33.9,6.4,12.7,0.5,5.2,10.3,0.51,1.1,2.4,0.458,4.2,5.4,0.778,0.2,3.1,3.3,5,1.1,0,2.6,2.4,18.1,5.13,9.9,4,5
Javaris Crittenton,ACC,32,31,31.3,4.9,11,0.45,3.8,7.8,0.488,1.1,3.2,0.356,3.4,4.3,0.783,0.9,2.8,3.7,5.8,2,0.1,3.9,2.1,14.4,9.36,10.6,4,5
Aaron Brooks,Pac-10,35,35,36.8,6.1,13.2,0.46,3.8,7.6,0.502,2.3,5.7,0.404,3.3,3.9,0.846,0.9,3.4,4.3,4.3,1.4,0.2,2.5,2.5,17.7,6.3,13.3,3,4
Gabe Pruitt,Pac-10,26,24,33.1,4,9.6,0.416,2.2,4.3,0.496,1.8,5.3,0.35,2.6,3.3,0.8,0.6,2.2,2.8,4.3,1.8,0.3,1.8,2.2,12.5,7.87,7.7,4,5
Taurean Green,SEC,40,40,33.2,3.9,8.7,0.444,1.8,3.6,0.497,2.1,5.1,0.406,3.5,4.2,0.849,0.2,2.2,2.4,3.7,1.1,0,2.7,1.5,13.3,7.34,7,4,5
Ramon Sessions,WAC,34,33,30.2,4.1,9.1,0.452,3.6,7.6,0.465,0.6,1.5,0.38,3.5,4.2,0.825,1.1,3.6,4.7,4.7,0.9,0.2,2.5,1.2,12.3,1.09,15.9,3,3
DJ Strawberry,ACC,34,34,31.9,5.4,11.4,0.477,4.4,8.4,0.525,1,3,0.343,3,4.4,0.685,1.3,3.1,4.4,3.5,2,0.4,2.2,2.6,14.9,7.59,6.2,4,5
Derrick Rose,AAC,40,39,29.2,5.2,10.9,0.477,4.3,8.3,0.521,0.9,2.6,0.337,3.7,5.1,0.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,5.76,18.3,2,2
Russell Westbrook,Pac-10,39,34,33.8,4.7,10,0.465,4,8.1,0.497,0.7,2,0.338,2.7,3.8,0.713,1.6,2.4,3.9,4.3,1.6,0.2,2.5,2.4,12.7,7.71,23.5,1,1
DJ Augustin,Big 12,38,38,37.3,6.4,14.5,0.439,4.4,9.4,0.471,1.9,5.1,0.381,4.6,5.8,0.783,0.5,2.4,2.9,5.8,1.2,0,2.8,1.6,19.2,8.59,14.2,3,4
Jerryd Bayless,Pac-10,30,30,35.7,5.8,12.6,0.458,3.8,7.8,0.489,2,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4,1,0.1,3,2.2,19.7,10.22,12.2,4,4
George Hill,Summit,32,32,36.8,6.9,12.6,0.545,5.3,9.2,0.58,1.5,3.4,0.45,6.2,7.7,0.812,1.5,5.2,6.8,4.3,1.8,0.4,2.9,2.8,21.5,-2.41,15.1,3,3
Mario Chalmers,Big 12,39,38,30,4.2,8.2,0.516,2.3,4.2,0.562,1.9,4,0.468,2.5,3.3,0.746,0.4,2.7,3.1,4.3,2.5,0.6,1.9,2.5,12.8,8.2,12.7,4,4
