Player,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBA PER,Classification,Classification2
Tyrese Haliburton,Big 12,22,22,36.7,5.6,11.1,0.504,3.2,5.5,0.592,2.4,5.6,0.419,1.7,2,0.822,1.5,4.4,5.9,6.5,2.5,0.7,2.8,1.3,15.2,10.07,,,
Cole Anthony,ACC,22,20,34.9,6,15.7,0.38,3.7,9.3,0.402,2.2,6.4,0.348,4.4,5.8,0.75,0.5,5.2,5.7,4,1.3,0.3,3.5,2.9,18.5,10.05,,,
Kira Lewis Jr.,SEC,31,31,37.6,6.6,14.5,0.459,4.8,9.5,0.507,1.8,4.9,0.366,3.4,4.2,0.802,0.8,3.9,4.8,5.2,1.8,0.6,3.5,2.6,18.5,8.12,,,
Tyrell Terry,Pac-12,31,31,32.6,4.7,10.7,0.441,2.7,5.8,0.47,2,4.9,0.408,3.2,3.5,0.891,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,6.38,,,
Nico Mannion,Pac-12,32,32,32.3,4.5,11.5,0.392,2.8,6.4,0.444,1.7,5.1,0.327,3.3,4.2,0.797,0.3,2.3,2.5,5.3,1.2,0,2.6,1.7,14,8.4,,,
Tre Jones,ACC,29,29,35.4,5.6,13.2,0.423,4.2,9.5,0.447,1.3,3.7,0.361,3.7,4.8,0.771,0.7,3.6,4.2,6.4,1.8,0.3,2.7,1.8,16.2,8,,,
Devon Dotson,Big 12,30,30,34.9,6.1,13,0.468,4.8,8.9,0.541,1.3,4.1,0.309,4.7,5.7,0.83,0.6,3.5,4.1,4,2.1,0.1,2.4,1.8,18.1,11.63,,,
Grant Riller,CAA,31,31,33.5,7.3,14.7,0.499,5.8,10.5,0.554,1.5,4.2,0.362,5.7,6.9,0.827,0.5,4.6,5.1,3.9,1.6,0.3,3.1,2.3,21.9,-0.84,,,
Cassius Winston,Big Ten,30,30,32.7,6.2,13.8,0.448,3.7,8.1,0.459,2.4,5.6,0.432,3.8,4.5,0.852,0.2,2.3,2.5,5.9,1.2,0,3.2,2,18.6,10.76,,,
Malachi Flynn,MWC,32,32,33.4,5.8,13,0.441,3.4,6.7,0.507,2.4,6.4,0.373,3.8,4.4,0.857,0.6,3.8,4.5,5.1,1.8,0.1,1.8,1.8,17.6,3.93,,,
Ashton Hagans,SEC,30,29,33.1,3.6,8.8,0.404,3,6.8,0.448,0.5,2.1,0.258,3.8,4.7,0.81,0.2,3.7,3.9,6.4,1.9,0.2,3.4,2.6,11.5,7.46,,,
Payton Pritchard,Pac-12,31,31,36.6,7,14.9,0.468,4.1,8.1,0.512,2.8,6.8,0.415,3.7,4.5,0.821,0.7,3.6,4.3,5.5,1.5,0,2.7,2,20.5,9.09,,,
Ayo Dosunmu,Big Ten,30,30,33.5,6.5,13.5,0.484,5.6,10.2,0.544,1,3.3,0.296,2.6,3.4,0.755,0.6,3.7,4.3,3.3,0.8,0.2,2.7,1.7,16.6,9.84,,,
Markus Howard,Big East,29,29,33.2,8.2,19.3,0.422,4,9.2,0.434,4.2,10.1,0.412,7.3,8.6,0.847,0.6,2.9,3.5,3.3,0.9,0,3.4,2.4,27.8,9.3,,,
Myles Powell,Big East,28,28,31.5,7,17.5,0.398,4.1,8.3,0.5,2.8,9.2,0.306,4.3,5.4,0.795,0.9,3.4,4.3,2.9,1.2,0.2,2.8,2.1,21,9.95,,,
Colbey Ross,WCC,32,32,37.7,6.3,15.8,0.402,4,9.2,0.44,2.3,6.6,0.349,5.5,6.4,0.854,0.7,3.9,4.7,7.2,1.1,0.2,4.4,2.3,20.5,3.6,,,
Jordan Ford,WCC,34,34,38,7.9,16.1,0.492,5.4,10,0.541,2.5,6.1,0.411,3.4,4.1,0.836,0.6,2.5,3,2.3,1.4,0,1.5,1.1,21.9,5.24,,,
